"tollgate_id","time_window","direction","volume","proportion_hasetc_vehicles"
"1","[2016-10-18 00:00:00,2016-10-18 00:20:00)","1","105","26"
"1","[2016-10-18 00:00:00,2016-10-18 00:20:00)","0","11","0"
"3","[2016-10-18 00:00:00,2016-10-18 00:20:00)","1","148","35"
"3","[2016-10-18 00:00:00,2016-10-18 00:20:00)","0","12","3"
"1","[2016-10-18 00:20:00,2016-10-18 00:40:00)","1","81","18"
"1","[2016-10-18 00:20:00,2016-10-18 00:40:00)","0","5","0"
"3","[2016-10-18 00:20:00,2016-10-18 00:40:00)","1","96","24"
"3","[2016-10-18 00:20:00,2016-10-18 00:40:00)","0","12","3"
"1","[2016-10-18 00:40:00,2016-10-18 01:00:00)","1","41","11"
"1","[2016-10-18 00:40:00,2016-10-18 01:00:00)","0","9","0"
"3","[2016-10-18 00:40:00,2016-10-18 01:00:00)","1","67","19"
"3","[2016-10-18 00:40:00,2016-10-18 01:00:00)","0","15","2"
"2","[2016-10-18 00:40:00,2016-10-18 01:00:00)","0","3","3"
"1","[2016-10-18 01:00:00,2016-10-18 01:20:00)","1","13","4"
"1","[2016-10-18 01:00:00,2016-10-18 01:20:00)","0","11","1"
"3","[2016-10-18 01:00:00,2016-10-18 01:20:00)","1","10","3"
"3","[2016-10-18 01:00:00,2016-10-18 01:20:00)","0","23","1"
"1","[2016-10-18 01:20:00,2016-10-18 01:40:00)","1","7","1"
"1","[2016-10-18 01:20:00,2016-10-18 01:40:00)","0","9","1"
"3","[2016-10-18 01:20:00,2016-10-18 01:40:00)","1","6","2"
"3","[2016-10-18 01:20:00,2016-10-18 01:40:00)","0","16","1"
"2","[2016-10-18 01:20:00,2016-10-18 01:40:00)","0","1","1"
"1","[2016-10-18 01:40:00,2016-10-18 02:00:00)","1","4","2"
"1","[2016-10-18 01:40:00,2016-10-18 02:00:00)","0","8","2"
"3","[2016-10-18 01:40:00,2016-10-18 02:00:00)","1","8","2"
"3","[2016-10-18 01:40:00,2016-10-18 02:00:00)","0","21","2"
"1","[2016-10-18 02:00:00,2016-10-18 02:20:00)","1","3","0"
"1","[2016-10-18 02:00:00,2016-10-18 02:20:00)","0","8","0"
"3","[2016-10-18 02:00:00,2016-10-18 02:20:00)","1","5","1"
"3","[2016-10-18 02:00:00,2016-10-18 02:20:00)","0","19","1"
"1","[2016-10-18 02:20:00,2016-10-18 02:40:00)","1","9","1"
"1","[2016-10-18 02:20:00,2016-10-18 02:40:00)","0","4","0"
"3","[2016-10-18 02:20:00,2016-10-18 02:40:00)","1","4","0"
"3","[2016-10-18 02:20:00,2016-10-18 02:40:00)","0","9","1"
"1","[2016-10-18 02:40:00,2016-10-18 03:00:00)","1","4","0"
"1","[2016-10-18 02:40:00,2016-10-18 03:00:00)","0","6","1"
"3","[2016-10-18 02:40:00,2016-10-18 03:00:00)","1","3","1"
"3","[2016-10-18 02:40:00,2016-10-18 03:00:00)","0","11","0"
"1","[2016-10-18 03:00:00,2016-10-18 03:20:00)","1","11","1"
"1","[2016-10-18 03:00:00,2016-10-18 03:20:00)","0","8","2"
"3","[2016-10-18 03:00:00,2016-10-18 03:20:00)","1","6","1"
"3","[2016-10-18 03:00:00,2016-10-18 03:20:00)","0","14","2"
"1","[2016-10-18 03:20:00,2016-10-18 03:40:00)","1","9","0"
"1","[2016-10-18 03:20:00,2016-10-18 03:40:00)","0","8","0"
"3","[2016-10-18 03:20:00,2016-10-18 03:40:00)","1","2","0"
"3","[2016-10-18 03:20:00,2016-10-18 03:40:00)","0","14","0"
"1","[2016-10-18 03:40:00,2016-10-18 04:00:00)","1","16","2"
"1","[2016-10-18 03:40:00,2016-10-18 04:00:00)","0","7","1"
"3","[2016-10-18 03:40:00,2016-10-18 04:00:00)","1","4","1"
"3","[2016-10-18 03:40:00,2016-10-18 04:00:00)","0","11","1"
"1","[2016-10-18 04:00:00,2016-10-18 04:20:00)","1","19","1"
"1","[2016-10-18 04:00:00,2016-10-18 04:20:00)","0","8","1"
"3","[2016-10-18 04:00:00,2016-10-18 04:20:00)","1","3","0"
"3","[2016-10-18 04:00:00,2016-10-18 04:20:00)","0","12","3"
"1","[2016-10-18 04:20:00,2016-10-18 04:40:00)","1","14","0"
"1","[2016-10-18 04:20:00,2016-10-18 04:40:00)","0","13","0"
"3","[2016-10-18 04:20:00,2016-10-18 04:40:00)","1","8","1"
"3","[2016-10-18 04:20:00,2016-10-18 04:40:00)","0","15","2"
"1","[2016-10-18 04:40:00,2016-10-18 05:00:00)","1","27","1"
"1","[2016-10-18 04:40:00,2016-10-18 05:00:00)","0","5","1"
"3","[2016-10-18 04:40:00,2016-10-18 05:00:00)","1","4","0"
"3","[2016-10-18 04:40:00,2016-10-18 05:00:00)","0","14","3"
"2","[2016-10-18 04:40:00,2016-10-18 05:00:00)","0","4","0"
"1","[2016-10-18 05:00:00,2016-10-18 05:20:00)","1","29","2"
"1","[2016-10-18 05:00:00,2016-10-18 05:20:00)","0","7","0"
"3","[2016-10-18 05:00:00,2016-10-18 05:20:00)","1","11","1"
"3","[2016-10-18 05:00:00,2016-10-18 05:20:00)","0","12","1"
